,Unnamed: 0,comment,sentimen
362,362,terap dulu uu hukum mati jabat korupsi baru perintah percaya,negatif
363,363,tuju tapera potong 10 biar cepat beli rumah,positif
364,364,bagus dengkul,negatif
365,365,kunci perbaikin dlu uud pidana koruptor beri hukum seberat2nya transparan beri takut utk laku korupsi program perintah terima masyarakat percaya masyarakat udah bobrok kerja hari utk makan besok hari usaha besar putar uang tabung rakyat bank buat jadi kaya raya,negatif
366,366,urus dulu koruptor baru rakyat percaya hukum mati tembak siar live baru buat bijak,negatif
367,367,emang perintah ntidak mikirin kalo bakal matikok sampe tega gitu sama rakyat,negatif
368,368,sah kan hukum mati baru ku mau bayar tapera,negatif
369,369,program bagus kelola korup buat video kait strategi berantas korup aja,negatif
370,370,sekarang tau klo jaman sby benar2 dengar suara rakyat gk salah dlu aku pilih bangga sm sby bahkan ekonomi pas jaman sby jg bs kontrol baik segala putus sosialisasi dulu klo yang tdk tuju boleh demo,positif
371,371,tapera buntut ruwet aku pensiun pns udah ngrasain ngurus uang kembali tabung rumah nya mbuleet mulees dulu lalu bapetarum,negatif
372,372,sanksi ancam tapera terlalu keri perlu sebut manfaat walaupun anggap manfaat ancam sangat berat tidak ikut,negatif
373,373,perintah cukup bangun percaya masyarakat lebih dulu bukan malah banyak program nyata tiap laksana nya selalu masalah,negatif
374,374,gegara cemas tapera gue sampe tonton video di speed 075 biar tetep keep up sama lu koh kepala gue terlalu lamban terima materi kompleks bawa cepat,negatif
375,375,bagus dikelolah benar jujur hampir semua dana sebut hangus uap bahkan hilang contoh asabri notabene milik tentara hilang saja jadi perlu jadi orang baik kalau memang tahu perintah bobrok,negatif
376,376,uu ampas aset sm hukum mati koruptor sahkan duku baru program2 perintah oke lah,negatif
377,377,inti no trust perintah,negatif
378,378,apa kabar asuransi perintah punya rugi banyak hilang bgtu uang rakyat mending jangan kelolah perintah la uda kena pajak negara jln mkn minum tidur semua sda pajak perintah kok mas mau ambil ikn skrng dana sda habis banyak apa putar dstu mau di putar uang rakyat tapera yang pensiun pns blm cair lucu sekali,negatif
379,379,tabung paksa buat bangun ikn,negatif
380,380,simpel kalo mau rakyat percaya uu ampas aset sah dulu jadi klo duit korupsi bisa maksa koruptor ganti rugiberani itu sah,negatif
381,381,alas aja biar malakin masyarakat uda sda ambil semua duit rakyat mas mau peres,negatif
382,382,ko bahas muhamadiyah dong tarik dana bsikarena jelas di program tempopenjelasan mereka ngawang ngambang alias sulit cerna paham jelasin alas dampak nya apa aja,negatif
383,383,bener banget om mending benah dulu perintah nya korupsi dana udah d korup balikin negara dulu sampe bener2 100,negatif
384,384,koh barangkali relasi punya power dong aju uu ampas asethukuman mati koruptorcuma solusi semua problem negara saya yakin rakyat indonesia berat bayar pajak lama pengelolaanya jelas moga wujud,negatif
385,385,best explanation as always berani objektif adukatif spek menteri indonesia lanjut terus bang raymond,positif
386,386,sini soal uang bansos dipake buat kampanye,negatif
387,387,kayak presiden mau buka aib keburu pemerintahanya aneh sja masa jabat mau habis harus buat citra baik malah buka terbit uud pasti tau jadi polemik aneh sjayang lama rasa ditahan2 malah buka jadi viral masarakat kelas pling bawah tau perintah banyak busuk nya klu viral soal tapera masarakat tau gagal tapera dahulu,negatif
388,388,malaka project vs buzzer perintah,negatif
389,389,dana kelola manajer ogah udah gk percaya ada malah korup,negatif
390,390,program apa pasti bagus tp gantung eksekusi klo sdh hubung kumpul uang jumlah banyak uang tsb segera guna tidak bijak akan muncul sempat uang tsb guna hal uang panas,negatif
391,391,memang nyata faktor paling utama percaya masyarakat perintah gimana mau percaya wong kpk aja udah impoten skrng korupsi makin rajalela sampe ratus triliun perintah mau narik duit paksa masyarakat pasti banyak tolak lah wkwkwk,negatif
392,392,siap2 jd korban korupsi massal,negatif
393,393,raymondchin lihat jiwasraya asabri bpjs di korupsi sekarang paksa urun 3 kelola perintah program tapera,negatif
394,394,kuasa sekarang mending ngtidak bikin bijak makin banyak bijak makin banyak rakyat pijak,negatif
395,395,mungkin program emang bagus cuman rakyat keburu sakit oleh2 koruptor2 aset2 rakyat yangdi korupsi ngk balikin kl balikin susahnyaaaa tengah mati contoh jiwasraya bukti salah di balik 2030 thn ortu sudah meningal uang balik,negatif
396,396,biar rakyat percaya perintah berani ga hukum pemiskinanhukum mati koruptor,negatif
397,397,betul banget gimana mau percaya sistem orang perintah aja banyak korupsi,negatif
398,398,benar masyarakat masalah program tapera ada syarat tiap koruptor hukum gantung tembak mati juga bisa di bom pakai dinamit yakin tapera terima baik,negatif
399,399,tambah terima rakyak,negatif
400,400,good,positif
401,401,kl sistem dirolling negara investrasanya oke2 aja,negatif
402,402,indonesia peringkat korupsi 4 dunia rasa tau aja ga tau mungkin ranking bisa lebih tinggi sih,negatif
403,403,bingung mau komen apa,negatif
404,404,baik dlu hukum nya korupsi hukum mati jangan 3persen 20 persen tak masalah asal bngsat2 koruptor hilang negri,negatif
405,405,omong aja dah ikn mangkrak butuh dana,negatif
406,406,lu ngomongin program perintah mending gimana cara korupsi mati kelurganya miskin biar mikir kalau buat resiko tinggi kalau program bagus manusia adap apa manusia idup,negatif
407,407,mungkin perintah udah punya kalender program akan luncur beberapa puluh tahun depan misal 2016 perintah usaha ambil percaya rakyat program tapera laksana 2024 sayang nya kasus korupsi kasus lain jadi luar duga hingga akhir rakyat udah g percaya sama perintah karena program perintah padat akhir mau mau program di sah kan,negatif
408,408,aku setuju2 ajaa rumahnyaaa kualitasnyaaa sesuai ngtidak,negatif
409,409,lahan korup lg nih,negatif
410,410,gw percaya portofolio perintah soal program kayak gin sampah wkwk,negatif
411,411,tapera akan pungut nih tunggu kabar lanjut paling bbm naikin,negatif
412,412,udah track recordnya tapera susah dicaerin thx bpk thx yang kasi tau info ketar tir kan,negatif
413,413,aku harap moga masa depan jabat korupsi hukum mati,negatif
414,414,plis moga masa depan jabat korupsi hukum mati,negatif
415,415,plis moga masa depan jabat korupsi hukum mati,negatif
416,416,sekarang gaji udah potong pajak 15 tambah potong buat bpjs tambah harga pokok hidup naik ppn naik bahkan kabar mau jadi 12 sekarang tambah tapera hasil kerja keras ku mau bawa itu buat perintah mana mana bawa alphard bmw mercedes benz benar saat kita mau beli makan aja udah mulai susah pinjam mulai bengkak mau gimana hidup,negatif
417,417,gw anggur harap bantu perintah sekarang ingin bantu masyarakat miskin cari kerja ikan syarat2 batas usia syarat2 sulit asosiasi kerja fungsi nya apa gerak bila usaha di rugi kan bila hanya buruh yang di rugi kan tutup mata,negatif
418,418,saran buat buruh jangan mau hasut asosiasi kerja selalu bela usaha coba lihat semua kasus demo asosiasi kerja semua karena usaha rasa rugi kan kalo bela buruh tak mungkin sulit buruh potong salur kerja sangat besar banding 25 persen tapera,negatif
419,419,bila rusuh demo asosiasi kerja bantu buruh pihak perintah aman polisi banyak korban buruh gw syukur makin banyak buruh tewas situ makin buka lebar peluang anggur dapat kerja,negatif
420,420,gw anggur rakyat miskin susah cari kerja andal ojol insentif kecil sekarang dukung perintah program tapera kalo suruh perintah lawan perang saudara asosiasi kerja bantu buruh sekalipun gw siap matti nyari kerja tetap di sulit asosiasi selalu dukung usaha,positif
421,421,asosiasi kerja bela usaha musuh cari kerja anggur syarat batas usia syarat2 cari kerja sulit mitra kerja mau nya usaha pecat jamin apa walaupun udah mau tunggu thr beberapa hari pecat pihak yayasan salur kerja potong gaji karyawan kontrak se enak jidat asosiasi kerja apa gerak lah asosiasi kerja di tunggang usaha usaha di rugi kan baru hasut buruh demo fungsi nyata ada nya asosiasi kerja,negatif
422,422,ora relate lur,negatif
423,423,protes keras usaha takut rugi hitung ajah usaha bayar 05 persen ratus milyar rupiah tiap bulan buruh jadi alat asosiasi kerja yang bela usaha dulu usaha rugi asosiasi kerja langsung gerak buruh kalo bantu asosiasi kerja potong yayasan salur kerja padahal lebih besar bukan 25 persen ojol demo insentif kecil asosiasi tutup mata gaji buruh 10 juta paling kena 250 ribu coba usaha 05 persen ratus milyar rupiah,negatif
424,424,korupsi broo udah no debat,negatif
425,425,gondok sm kasus korupsi syl duit tri dipake buat skin care cucu gila koq kira2 gimana rakyat mo percaya yangy,negatif
426,426,kayak korup mati dulu,negatif
427,427,sahkan uu ampas aset,negatif
428,428,rakyak rakyatdari rakyat elit,negatif
429,429,wakakakakakakka si pro jow jossssss bentar lg dapet undang upacara ikn,negatif
430,430,problem2 utang belum clear problem bukan sukseskaya pensiun waskita,negatif
431,431,cakemu rusak,negatif
432,432,jelas minimal rakyat 58 jadi paham,negatif
433,433,uang swasta kelola pns cuma mau naikin tunjang kerja,negatif
434,434,mending gk usah lah tengo trek rekote perintah konoha burukini peluang besar buat koruptor,negatif
435,435,jangan 3 1520 bisa asalakan kelola tepat bijak transparan indonesia 0 korupsi dulu program tapera bagus ada korupsi indonesia umr minimal sudah di angka 7jtaan,negatif
436,436,coba nonton malaka project situ ntr dijelasin sama jerome hitung hitung matematika ndak masuk akal sistem perintah sedia huni kemudian baru potong gaji hingga lunas kan harga properti ndak masuk akal naik tiap tahun so silah nilai sendiri kalkulasi dapat masingmasing cmiiw,negatif
437,437,kalau aku sih mikirnya udah lebih dar hadap depan misal udah jalan tapera bkn kait percaya rakyat perintah aja kait alir dana tp masalah timbul telah jalan kait bangun property nya kerjasama pihak tiga developer tahu banyak banget developer sekarang yang nakal akan aman uang yang udah setor rakyat yakin aman kait proyek2 pembangungan calon developer,positif
438,438,sebernya bagus aja sih program program perintah masalah utama gk jujur loh,negatif
439,439,udah lah indonesia jadi hiperkapitalis aja,negatif
440,440,lu kayak gk tahu aja broyang selalu jadi masalah integritasmasak lu tahubpjs sehat jadi bancak ane pernah kasih obat cuma 2 tablet tulis 2 box tadi ane mau protes mau lapor jadi lah soale ane yakin akan hasil hadap mafiawong dana asabri korupsi milik militer lho berani korupsi tapera milik orangorang kecilsewaktu pandemi covid19 bro tidak tahu klo banyak mati bukan covid19 lapor mati akibat covid19 oknum rssekali ya bro jadi masalah negara sebut integritas,negatif
441,441,kalo bilang program jenius yap bener ingat indonesia korupsi budaya ini jadi aku ngasih 3 gaji ku buat makan orang orang atas bener aja orang pns aja red flag kok sekarang rambat rakyat kecil,positif
442,442,biaya tapera bwt bangun ikn kurang dana,negatif
443,443,rakyat banyak ga tuju tapera takut korupsi,negatif
444,444,biar rumah baru laku biar harga rumah kerek naik biar developer cuan bener turun harga rumah goreng kmaren batas usia mobil biar laku mobil baru kan skrgg rumah,negatif
445,445,rumah subsidi indo brp banyak masyarakat indonesia brp,positif
446,446,bos bos klo sistem indonesia bersih korupsi lah sistem tapera laku tpi dana pensiun aja tni aja dikorop apa dana tamperaindonesia kritis bos perintah indonesia sudah rusak,negatif
447,447,info cara pindah kewarganegaraan guys,negatif
448,448,trustnya diperbaikin dulu sistem baik dulu kalau sistem 1 data indonesia jalan masuk 1 data sehat duduk bisnis asuransi masuk waris udah jalan insyaallah jalan sihcoz teori dasar power tend corrupt absolute power corrupt absolutely tanda tangan power so tunggu aplikasi sistem satu data indonesia nya indonesia lebih baik insyaallah amin yra,positif
449,449,instansi indonesia emang ga benerngelola anggar ada dana aja buat bahan bancak uang rakyat pada berlomba2 korupsi lagi bobrok hampir seluruh instansi indonesia remuukk boossskasus jiwasraya asabri tu gimana wkwkwkk rakyat cuma manyunlaini gaji rakyat pangkas bakal kelola perintah bla3x pensiun gileeee ajaaa mau percayasama aja kasih duit kerja kelola maling,negatif
450,450,pasti uang tapera d korupsi o manusia2 tamak biadab d negara dn ngtidak yang tnggungjwb kepercyaan wrga kpd negara sdh ngtidak,negatif
451,451,untung lo bilang canda bro kalo mau gua counter busa,negatif
452,452,perintah banyak korup jadi ga percaya,negatif
453,453,ikn ini topang apbn duit tapera buat dana ikn as simple as that,positif
454,454,semua program perintah jalan mulus atas bawah uu hukum mati rampas harta koruptor sah gimana pdi mau ttd ingat kata kata bambang pacul,negatif
455,455,tabung tni aja sikat orang biasa maaf sampe detik saya pernah percaya sm perintah simpel aja mikirnya,negatif
456,456,makasih mata ajar bang,positif
457,457,bukan tidak suka sama program tapera saya program baikcmn masalah jabat negera konoha belum di percaya banyak program perintah di korupsi jabat sndri,negatif
458,458,jaman jajah belanda kerja paksa rodijaman jajah perintah sendiri tabung paksa nunggu presiden lanjut nya lah berani bener bener bikin rakyat sejahtera cape 2 periode untung milih,negatif
459,459,indonesia is gotham so we need the batman here or at least the joker,negatif
460,460,perintah komitmen bahagia rakyat,positif
461,461,mirip investasi bodong ga sihhh slama koruptor rajalela negeri rakyat ada trust propgram perintah apa lg perintah hny kelola dana rakyat trus ga yakin nnt bs cair lenyap dana nya spt taspen asabri perintah ngumpulin duit bulan dr rakyat xx triliun bln uang nya investasi atau cicil hutang mau jatuh tempo dana segar dana cepat kumpul,negatif
462,462,gw tuju taperatapi1 sah dulu hukum mati koruptor ampas aset 7 turunan2 hukum mati mafia2 pajaknarkobapertanianpendidikanpertambangan dll3 bentuk tim khusus petrus point no 1 2 ga berani sah kan,negatif
463,463,80 pegawai punya rumahsebenarnya perintah mau pinjam uang rakyat iknapbn defisiityang sudahsudah kelola bakak korupsi,negatif
464,464,tapera pungut liar selenggara legal perintah,negatif
465,465,perata dana ponzi selubung rakyat tolak tapera asli tipu2 gilir narik dana sulit,negatif
466,466,observasi keren,positif
467,467,geniusss banget nih programni raymond smangat banget senyum2 liatnyangebagus2in program tidak bukti tidak sukses story nya,positif
468,468,jenius ndasmu,negatif
469,469,bayar berapa sama perintah,negatif
470,470,konsep negara lain tuju sayang keyataanya tak mereka jadi ladang baru,negatif
471,471,tuju sih syarat koruptor hukum mati,negatif
472,472,klo mau jenius buatin dulu rumah trs rakyat kualifikasi tentu bs nyicil program tapera persen hitung dasar kontrak kerja lagi ngapain mikir tapera jauh bos deket2 aja brantas dl korupsi kasih hukum mati korupsi g usah pake tapera spt kata prof mahfud klo kelola benar rakyat indonesia duduk manis 20jt per bulan lbh percaya prof mahfud,positif
473,473,komen negatif tapera baca dulu atur bagaimana laksana tapera paham sila klo mau komen apa satu saya pribadi ketawa klo orang tokoh hitung klo gaji sekian juta persentase sekian arti bulan potong sekian klo kali beberapa tahun jadi sekian mereka bilang kurang dong klo beli rumah dlu bpjs gitu potong misal 50 ribu kali tahun cuma 600 ribu kurang dong buat operasi jantung nyata ikut bpjs 3 bulan orang rasa manfaat klo pasang ring jantung masalah pensiun ikut bapertarum pensiun cuma ga berapa karena manfaat jadi ketika akhir masa ambil tidak dapat imbal hasil budaya baca riset tabayyun,negatif
474,474,bang ray coba bahas emiten goto soal petinggipetingginya banyak hengkang usaha laku phk di bulan juni 2024,negatif
475,475,negara kurang duitrakyat sendiri paksa nabung dgn logo tapera nombok kurang program2 ikn dikalimantanselain juga bikin ormas2 izin tambang biar negara royalti buat tambah dana buat ikn,negatif
476,476,kondisi pas paksa program tapera bijak tidak pas ukur dapat kerja di indonesiapemerintah beri alternatif jamin pasti lapang pekerjaanpikirkan generasi muda kena lapang pekerjaanlebih utama masalah korupsimau apa program perintah lama berantas cegah korupsi belim baik selam juga indonesia jadi baik u langsung hidup bangsa dan negara,positif
477,477,percuma pak klo kol 5 kan ga ambil kpr tapera sampah klo gw,negatif
478,478,kamu semua program jokowi tetap kamu dukung karna kamu orang jokowi aja inti,positif
479,479,yang gaji nya bawah 1 jt gimana nih potong 3 ga,negatif
480,480,momen kurang pas bang skrg kan byk berita bagai skandal korupsi jadi ngeper pegawe,negatif
481,481,kalo hukum indonesia tajem korupsi mungkin rakyat ga bakal berat ada program tapera korupsi tembak mati asset sita sisain 10 rakyat mau ikut tapera,negatif
482,482,cuma jadi wakil wakil rakyat harus lebih sejahtera diwakilkanemanxya wakil gaji lebih tinggi diwakilkanyang jadi wakil lebih sejahtera yang diwakililantas mau ngewakilin apangewakilin jalan2 keluar negeringewakilin ngelontengewakilin foya2sekali2 ngewakilin rakyat yang penjara nyolong berasupstar penjara bisa kaya apartemen pribaditidak dikumpulin jadi 1 dg napi2 yang laenwakil rakyat kaga,negatif
483,483,at least uang buat bayar utang lah mah buat pribadi,positif
484,484,masa rakyat suruh percaya sama gerombol residivis tipu,negatif
485,485,berita 271t kalo buat bayar tapera berapa banyak orang yang terima rumah beli,negatif
486,486,inti percaya masyarakat perintah sangat rendah kohmasalahnya situpresidennya tiap ngomong a actionnya bjanji a endingnya btidak pegang janjinyakondisi ini tentu bikin rakyat sensitif kalau tari macammacambeda kalau kondisi perintah percaya rakyat bukti minim kasus korupsi,negatif
487,487,sebenernya program bagus pake banget mungkin perintah emang butuh duit buat perlu apa kedok tapera tp ga alih isssue tadi rumah trus jadi regulasi lah masyarakat indo simpel orang ya minim literasi minat baca malas jadi musti kerja nyata biar bangun percaya percaya aja udah sulit dulu banget sistem perintah tidak simpel bikin rakyat bikin males contoh gw bayar stnk aja musti 3 jam lebih balik sana balik sini sampe tunggu cuma nulisin nama gw aja bayar 20rb apa nama gw doang anjim trus ngecek nomor motor deket tank bensin klo beat bayar 10rb bener aja tulis gede gaban no pungli dn klo gabayar muka masam banget kyk jijik liat org miskin tapera tapera anjim,negatif
488,488,fight against the evilness is difficult complex enigmatic arduous laborious exhausting intricate and involute were fvcked tt,negatif
489,489,uu tapera asli ga seperti umum presiden bang asli ga wajib,negatif
490,490,kaya dukung tapera,positif
491,491,jangan risau kaya alam indonesia banyak jual terus boss,positif
492,492,listen gw suka ngikutin banyak video lu ray bagus2 video upload knp kali tumben2an kualitas video kualitas turun gk kyk biasanyascript nya belibet muter2 bgt awal udah dijelasin skema tapera gimana tengah ngulang bahas lg awal udah bahas contoh program tapera luar negeri trus diulangin lg menit ikut pesan cta nyaaa minta perintah bebenah masalah trust diulang2 what the hell rayvideo cut nya banyak tepat timingnya intonasi bikin gk natural jadi ngerusak delivery obrolannyacara delivery ray juga liat terburu2 gitu gk santai kyk di video2 biasanyai have no intentions whatsoever dar observasi tonton setia sejak lama moga jadi masuk baik,negatif
493,493,korupsi segala lini gimana skeptis sama bijak perintah dlm kelola uang,negatif
494,494,gw masalah properti indonesia khusus kota kota besar karena bijak perintah milik properti harga properti mahal karena banyak properti asai gelintir orang butuh banyak minta lebih tinggi barang jadi lonjak harga makanya banyak kita ga punya rumah karena harga rumah sama dapat kapita rata rata jauh kata punya rumah turut kalian gmnsolusinya mungkin buat regulasi bijak mana perintah beri pajak yang lipat ganda orang lik properti lebih satu tidak guna tempat tinggal kek negara negara eropa,negatif
495,495,tapera buat pns aja ngap ngapan,negatif
496,496,colektor money politik jabat public tapera mengih paksa hasil jeri pyh rkyt buru tagih buat ibarat milik utang sah perintah lewat tentu uu buat rejim dinsty,negatif
497,497,taperaturu ae jabat rakyatsilkn buruh kerja cri uang banting tulang lapang hujan panas ma tau waktar paksa potong gaji dapat lewat tapera,negatif
498,498,100 ga bakal work program indonesia bakal korupsi semua akar masalah di negeri itu kalau telusur ujung korupsi,negatif
499,499,inti cuman satu rakyat ga percaya sama perintah mau program bagus apa ga percaya sering banget kecewa,negatif
500,500,koh bahas kristen indonesia hina internet sama oknum netizen walaupun ngtidak semua netizen,negatif
501,501,aj cara buat maling,negatif
502,502,tapera kan undang undang lo ribut sekarang kayak nyalahin presiden sih prwsiden perintah kan ngejalanin uu,negatif
503,503,tapera buat pns aja blm cair tuh brp m dipelototin ma ojk ga harap sama kpk sejak novel baswedan out jd melempem,negatif
504,504,gajih 36 potong bpjs kesehatanbpjs ketenatidakerjaanpajak sekarang tapera bahan pokok roket tinggi akhir pinjam pinjol gali lobang tu2p lobang engga sanggup bayar pusing putus asa bunuh diri tamat,negatif
505,505,indonesia terlalu banyak kata wakil rakyat hobi maling semua program jalan akhir maling,negatif
506,506,dar koreksi singapura bukan potong 37 hanya 20 potong gaji 17 nya usaha wajib tambah semua masuk cpf bagus semua jelas data akses kapan lewat website app bunga masuk brp keluar brp biaya2 saldo brp,positif
507,507,inti rakyat udah percaya perintah titikkoruptormkhakimaparat semua di atur,positif
508,508,negara subur utk koruptor terap hukum miskin hukum mati jangan keluar bijak uras uang rakyat g guna,negatif
509,509,tapera korupsi tunggu tanggal main,negatif
510,510,butuh 100 tahun buat daper rumah woyy,negatif
511,511,diri bro banyak omongcoba jual semua aset kamu punya broterus sumbang buat orang miskinorang terlantarbaru ane acung jempol,negatif
512,512,jiwa sanubari aku ga tuju tapera adil hakiki bebas finansial ditetidakkan,negatif
513,513,msalahnya bang pensiun dia tidak dpt rumah inti,negatif
514,514,jangan tapera bang bpjs aja mau pakai ribetnya minta ampun,negatif
515,515,gimana mau percaya nabung perintah udah2 ajj d korupsi trus kalo udah d korupsi duit gag balik,negatif
516,516,moga generasi depan generasi korupsi biar ngga rakyat tengah bawah sudah bunuh bunuh ada budak,negatif
517,517,hukum mati koruptor keluarga miskin baru deh rakyat percaya,negatif
518,518,bang nanya itu bayar cicil rumah kaga,negatif
519,519,apa belum ruu ampas aset sahkan pilih distrust,negatif
520,520,bantu rakyat kata masih ambil bunga ambil untung ujung bikin fix lah harus gk usah bunga2 an,negatif
521,521,perintah ga usah urusin biar rakyat pakai cara masing2 buat punya rumah,negatif
522,522,maaf kalau kerja sudah punya rumah harus paksa di potong,negatif
523,523,spill nilai matematika lu bang,negatif
524,524,negeri semua atur lihat bagus laksana pernah bahkan banyak jadi malah seleweng,negatif
525,525,pak aku tahu kamu pintar lu massa buta sama sistem perintah indonesia sekarang panas panas kasus korupsi paksa taperaatas dasar apa rakyat percayaaku tau kamu pintar pak rakyat tidak bodoh,negatif
526,526,waktu bapak pns pensiun dini kata si data ga update so that perintah sempet ngasih lebih gaji lama 12 bulan gitu kalo ga salah trus akhir bapak suruh kembali uang sebut dulu biar uang pensiun cair gatau deh orang orang atas managemen data gimana kalo data bagus korup cium yak nanti wkkw,negatif
527,527,mslh terbesarny ialah pemerintahny korupsi mkny warga gk pervaya,negatif
528,528,program bagus rakyat tidak percaya sama jabat perintah punya tentara aja embat rakyat jelita,negatif
529,529,dengar istilah lebih enak dinegri orang laku sih,negatif
530,530,program kedok kurupsi sampah benar itukayak te jarigan cepat nyata kedok kurupsiv,negatif
531,531,klo perintah baik bisa percaya sy minta 5 bulan jg ikhlas tp klo sdh percaya vaksin gratis sy mau sy percaya,positif
532,532,biaya sehat aja mahal krn dana sehat bnyak seleweng makin kesini makin aneh bangkit indonesia ku,negatif
533,533,masalah utama percaya korupsi,negatif
534,534,tapera epf malaysia rasa samakalau tapera khusus rumah kalau epf tuju nya banyak funding education beli bina rumah kesihatan ianya satu bentuk tabung usia tua epf malaysia asal ada 2 tabung epf tidak boeh keluar suka hati saking sulit ekonomi sekarang raja malaysia kenal tabung ke3 iaitu flexible account mana isi keluar bila2 belanja rakyat duit potong epf,negatif
535,535,indonesia krisis orang jujur jadi perintah buat program tolak mentahmentah kasus korupsi selesai adil hukum banyak tanya juga banyak yang gantung inti perintah nya sendiri aja tidak bisa ambil percaya rakyat sendiri masa yaa rakyat minta percaya dg perintah yaa jamin 1000000 rakyat akan sulit percaya kepada perintah,negatif
536,536,mending perintah lebih fokus dlu atur ruu korupsi jangan miskin aja tp hukum mati 3turunan apa orogramnya klo g yang korupsi bakal tuju aja,negatif
537,537,inti koruptor terlalu banyak sini,negatif
538,538,nah yang aku butuhin benar kalau emmang kelola dgn baik aku nolak paksa nabung tapi jelas kalo jelas di sini korupsi marakya maaf mendig aku nabung sendiri aja lagipula dah punya rumah,negatif
539,539,tapera klo ga utk dapetin rumah nama berat2xin rakyat umr aja jarang dapet perlu masy indonesia itu pensiun spt pns alias bayar bulan,negatif
540,540,bagaimana mau percaya tapera kalo dijakarta ajh harga tanah 10 tahun naik 3x lipat itu tapera milik rekam jejak gelap upa taperum masalah potong pensiun pns tinggal banyak rp500m belum jelas kemanain yang jadi dasar tidak percaya tapera gk percaya perintah mampu kelola belum juga jamin uang aman miniml sah kan dulu ruu ampas aset koruptor suap biar kami bisa percaya yang nama tapera,negatif
541,541,program akal2 an cari danadana ada aja korupsiwahai perintah benerin dulu bagi atas kalian semua cuma ntidakakin rakyat ajj siap2 rakyat bakal bikin adil jalan,negatif
542,542,perintah mana peduli soal bangun nasional,negatif
543,543,3 x 200 jt an orang seluruh indonesia wow cuannn,positif
544,544,youtuber kena ga,negatif
545,545,program tapera jalan hukum koruptor jadi hukum mati pandang buludari kalang atas bawah jadi biasa utk korupsi,negatif
546,546,jamsostek aja mo ambil banyak syarat,negatif
547,547,bang lu bayar berapa buat konten dukung tapera karna isi konten lu bullshit,negatif
548,548,yes tapera rakyat jabat kuasa oligarki mantap,positif
549,549,kalian apa kapok percaya influencer,negatif
550,550,lama unsur riba yakin program ga pernah sukses,negatif
551,551,uang pensiun tentara aja korupsi,negatif
552,552,soal kalo kelola indonesia korupsi beda sama negara,negatif
553,553,moga banyak konten edukasi kyak gin biar masyarakat jadi kritis walaupun perintah suka masyarakat bodoh biar bijak manut aja,positif
554,554,,neutral
555,555,yaa klo koruptor matiin kaya chinadan harta nya ambil negara mungkin rakyat akan tuju ajablm tuh kata program tumpang tindihkenapa ga jht aja di maksimal jadi program mirip tapera,negatif
556,556,bayar berapa bang suruh buat konten ginian,negatif
557,557,bayang 3 potong ga belinrumah alas punya rumah ni program aneh sih tabung paksa mending langsung program jht aja cukup sih harus bijak aja bilang 15 gitu udah jelas lu henti kerja duit cair bayangin buat rumah apa coba nikmat subsidi rumah cuma konglomerasi real estate bangun bangun proyek rumah subsidnya aja,negatif
558,558,masalah kelola malingmana percaya,negatif
559,559,oke gass lanjut salam potong gaji,negatif
560,560,perintah sedang bingung dgn kondisi ekonomi indonesia tidak baik2 aja upaya galang dana masyarakat dgn bagai cara,negatif
561,561,aku sih no,negatif
562,562,gw tuju kalo perintah transparan sih sekarang masalah percaya masyarakat terka banyak ditutupin perintah,negatif
563,563,tolak tapera tak punya hati,negatif
564,564,baik apa atur kalau hukum tdk ditetidakkan byk korupsi tdk jalan atur bgm kembali percaya rakyat berantas dulu korupsi sdh parah,negatif
565,565,aneh sih kata 80 puas 58 joged kok percaya sama perintah jadi sebenarny puas mau lanjut apa ngtidak benar paham pilih pimpin tentu arah bijak,negatif
566,566,tuju tapera tp buat gaji 10juta atas,positif
567,567,tapera jenius repotrepot lalu pajak retribusi negara ambil duit langsung dompet rakyat,negatif
568,568,sekarang masalah tanah bangun nya lokasi rumah nya mana jangan asal bacot aja lu,negatif
569,569,banyak proyek perintah ujung korupsi terus kalo di korupsi semua lepas tangan,negatif
570,570,selesai in masalah korupsi dulu sihbaru program2 kek gin,negatif
571,571,kalau korupsi semua tuju,negatif
572,572,y gmn g percaya korupsi aj kgk hukum mati omong ksong indonesia emas 2045,negatif
573,573,tapera pns aja ngtidak jelas uang mana gimana masyarakat mau percaya sekarang masyarakat juang cari butuh hidup seharihari kerepot harga beras sudah produk barang mewah harga langit pak jokowi cari solusi turun harga beras butuh pokok lainjika perintah mau di kasih jempol,negatif
574,574,presentasi memang ratarata program perintah bagus masyarakat lebih nggk percaya eksekusi nya yaaabanyak contoh kayak semua bijak manfaat ladang korupsi,negatif
575,575,pake otak akal sehat tau bpjs kacau bener cni pake otak akal sehat liat bpjs apa kembali uang bpjs tidak pakai,negatif
576,576,tolaktapera ha ha itung,negatif
577,577,perintah baik dulu masalah hukum paling colok soal korupsi koruptor wajib hukum mati di miskin,negatif
578,578,masalah korupsi baaanggg,negatif
579,579,mas kosaya nikmat konten sampeankalau riview kopi dorong gerobak pakai motor listrik lg ramai yadia operasi pinggir jalan perhati kok lg ramaitrims kok atas ilmu,negatif
580,580,raymond tahu pura2 tahu,negatif
581,581,,neutral
582,582,ngawur aja,negatif
583,583,tapera program genius keluar tokoh mau pensiun wkwkwk,negatif
584,584,beban tuh perintah bukan rakyat punya harga diri kalian wahai aparat,negatif
585,585,kira kira dukung jokowo puja nya dukung tapera ya,positif
